字母開頭,字彙,詞類,中文,級數
D,DoubleTenthDay,noun,雙十節,初級
d,doubt,noun/verb,疑慮；懷疑、對…不確信,初級
d,doughnut,noun,甜甜圈=donut,初級
d,down,adv./prep.,向下；在下方,初級
d,down,adj.,情緒低落,初級
d,down,noun,羽絨,初級
d,download,verb,下載,初級
d,downstairs,adv./adj.,朝樓下、在樓下；樓下的,初級
d,downtown,adv./adj./noun,往市區；市區的；市區,初級
d,dozen,noun,一打,初級
d,dragon,noun,龍,初級
D,DragonBoatFestival,noun,端午節,初級
d,drama,noun,戲劇,初級
d,draw,verb,畫,初級
d,drawer,noun,抽屜,初級
d,dream,noun/verb,夢；作夢,初級
d,dress,verb/noun,著裝；洋裝,初級
d,dresser,noun,斗櫃、衣櫃、梳妝台,初級
d,drink,verb/noun,喝；飲料,初級
d,drive,verb/noun,開車；車程,初級
d,driver,noun,駕駛員,初級
d,drop,verb/noun,使滴落、丟下、下降；(一)滴,初級
d,drug,noun,藥品、毒品,初級
d,drugstore,noun,藥局,初級
d,drum,noun,鼓,初級
d,dry,adj./verb,乾的；弄乾,初級
d,dryer,noun,烘乾機、吹風機,初級
d,duck,noun,鴨,初級
d,dumb,adj.,(口語)傻的、愚蠢的,初級
d,dumpling,noun,餃子,初級
d,during,prep.,在…期間,初級
d,duty,noun,責任、職責,初級
e,each,pron./adj./adv.,每個,初級
e,eagle,noun,鷹,初級
e,ear,noun,耳,初級
e,early,adj./adv.,早的；早,初級
e,earn,verb,賺得,初級
e,earth,noun,地球,初級
e,east,noun/adv./adj.,東方；向東；東邊的,初級
E,Easter,noun,復活節,初級
e,eastern,adj.,東方的,初級
e,easy,adj.,容易的,初級
e,eat,verb,吃,初級
e,edge,noun,邊緣,初級
e,education,noun,教育,初級
e,effect,noun/verb,結果、效果；達到…的效果,初級
e,effective,adj.,有效的,初級
e,effort,noun,努力,初級
e,egg,noun,蛋,初級
e,eight,number/pron./noun/adj.,八,初級
e,eighteen,number/pron./noun/adj.,十八,初級
e,eighty,number/pron./noun/adj.,八十,初級
e,either,adv.,也(否定句),初級
e,either,pron./adj./conj.,(兩者中)任一個,初級
e,elder,noun/adj.,長者；年長的,初級
e,elect,verb,推選、選舉,初級
e,election,noun,選舉,初級
e,electric,adj.,電的,初級
e,element,noun,元素、要素,初級
e,elementaryschool,noun,小學,初級
e,elephant,noun,象,初級
e,eleven,number/pron./noun/adj.,十一,初級
e,else,adv./adj.,其他,初級
e,email,noun/verb,電子郵件；寄電子郵件,初級
e,embarrass,verb,使尷尬,初級
e,emotion,noun,情感、情緒,初級
e,emphasize,verb,強調=emphasise(BritishEnglish),初級
e,employ,verb,雇用,初級
e,empty,adj./verb,空的；使…變空,初級
e,encourage,verb,鼓勵,初級
e,end,noun/verb,結束、末端；結束,初級
e,enemy,noun,敵人,初級
e,energy,noun,活力、精力；能源,初級
e,engine,noun,引擎,初級
e,engineer,noun,工程師,初級
E,England,noun,英格蘭,初級
E,English,adj./noun,英語的、英格蘭的；英語,初級
e,enjoy,verb,享受,初級
e,enough,adv./adj./pron.,足夠的,初級
e,enter,verb,進入,初級
e,entire,adj.,全部的,初級
e,entrance,noun,入口,初級
e,envelope,noun,信封,初級
e,environment,noun,環境,初級
e,envy,noun/verb,羨慕、妒忌,初級
e,equal,adj./verb/noun,相等的；相等；相等的人事物,初級
e,eraser,noun,橡皮擦,初級
e,error,noun,錯誤,初級
e,especially,adv.,尤其,初級
E,Europe,noun,歐洲,初級
E,European,adj./noun,歐洲(人)的；歐洲人,初級
e,eve,noun,前夕,初級
e,even,adv.,甚至、更加,初級
e,evening,noun,傍晚、晚上,初級
e,event,noun,事件、活動,初級
e,ever,adv.,從來、在任何時候,初級
e,every,adj.,每個,初級
e,everybody,pron.,每個人,初級
e,everyone,pron.,每人=everybody,初級
e,everything,pron.,每件事,初級
e,everywhere,adv.,到處,初級
e,evil,noun/adj.,邪惡；邪惡的,初級
e,exact,adj.,確切的,初級
e,exam,noun,考試,初級
e,examine,verb,檢查,初級
e,example,noun,例子,初級
e,excellent,adj.,傑出的,初級
e,except,conj./prep.,除…之外,初級
e,excite,verb,使興奮,初級
e,excuse,noun,藉口,初級
e,excuse,verb,原諒,初級
e,exercise,noun/verb,運動、練習；運動,初級
e,exist,verb,存在,初級
e,exit,noun/verb,出口；離開,初級
e,expect,verb,預料、期待,初級
e,expensive,adj.,昂貴的,初級
e,experience,noun/verb,經驗；體驗,初級
e,expert,noun,專家,初級
e,explain,verb,解釋,初級
e,export,noun/verb,出口、輸出,初級
e,express,verb,表達,初級
e,express,noun,快車、快遞,初級
e,express,adj.,快的,初級
e,extra,adj.,額外的,初級
e,eye,noun,眼睛,初級
f,face,noun/verb,臉；面對,初級
f,fact,noun,事實,初級
f,factory,noun,工廠,初級
f,fail,verb,失敗、不及格,初級
f,failure,noun,失敗、故障,初級
f,fair,adj.,公平的,初級
f,fair,noun,市集、商品展覽會、園遊會,初級
f,fall,noun,秋天=autumn,初級
f,fall,verb,跌倒、掉落、下降,初級
f,FALSE,adj.,錯誤的、假的,初級
f,family,noun,家人、家庭,初級
f,famous,adj.,著名的,初級
f,fan,noun,迷、狂熱愛好者；扇,初級
f,fancy,adj.,花俏的、昂貴的、豪華的,初級
f,fantastic,adj.,極好的,初級
f,far,adv./adj.,遠、非常；遠的,初級
f,farm,noun,農場,初級
f,farmer,noun,農夫,初級
f,fashion,noun,流行時尚,初級
f,fashion,verb,塑造成、製作,初級
f,fashionable,adj.,時髦的,初級
f,fast,adj./adv.,快的；快速地,初級
f,fat,adj./noun,肥胖的；脂肪,初級
f,father,noun,父親,初級
f,faucet,noun,水龍頭,初級
f,fault,noun,過錯、缺點,初級
f,favor,verb/noun,支持、偏袒；幫助、恩惠=favour(BritishEnglish),初級
f,favorite,adj./noun,最喜愛的；最喜愛的人/物=favourite(BritishEnglish),初級
f,fear,noun/verb,恐懼、害怕,初級
F,February,noun,二月=Feb.,初級
f,fee,noun,費用,初級
f,feed,verb,餵,初級
f,feel,verb,感覺,初級
f,feeling,noun,感覺、感情,初級
f,fellow,noun/adj.,夥伴；同類的、同伴的,初級
f,female,adj./noun,女性的；女性,初級
f,fence,noun,籬笆,初級
f,festival,noun,節慶,初級
f,fever,noun,發燒,初級
f,few,pron./adj.,少數的,初級
f,field,noun,田地；運動場；領域,初級
f,fifteen,number/pron./noun/adj.,十五,初級
f,fifty,number/pron./noun/adj.,五十,初級
f,fight,verb/noun,打架、爭吵、抗爭,初級
f,figure,noun,數字、圖表,初級
f,figure,verb,認為、計算,初級
f,fill,verb,裝滿,初級
f,film,noun,電影,初級
f,final,adj.,最後的,初級
f,final,noun,期末考,初級
f,find,verb,找到；感到,初級
f,fine,adj.,很好的,初級
f,fine,verb/noun,處以罰金；罰金,初級
f,finger,noun,手指,初級
f,finish,verb/noun,結束,初級
f,fire,noun,火,初級
f,fire,verb,開火、發射；開除,初級
f,firm,noun,公司,初級
f,firm,adj.,堅固的,初級
f,first,adj./adv./pron.,首先,初級
f,fish,noun/verb,魚；釣魚,初級
f,fisherman,noun,漁民,初級
f,fit,verb,合適,初級
f,fit,adj,健壯的、健康的,初級
f,five,number/pron./noun/adj.,五,初級
f,fix,verb,修理,初級
f,flag,noun,旗,初級
f,flashlight,noun,手電筒,初級
f,flat,noun,公寓=apartment,初級
f,flat,adj.,平坦的,初級
f,flattire,noun,沒氣的輪胎,初級
f,flight,noun,航程、班機,初級
f,floor,noun,地板、樓層,初級
f,flour,noun,麵粉,初級
f,flow,noun/verb,流動,初級
f,flower,noun,花,初級
f,flu,noun,流行性感冒,初級
f,flute,noun,長笛,初級
f,fly,verb,飛,初級
f,fly,noun,蒼蠅,初級
f,focus,noun/verb,焦點；聚焦,初級
f,fog,noun,霧,初級
f,follow,verb,跟隨、接著、遵循,初級
f,following,adj./prep./pron./noun,接著的、下列的；在…之後；下列事物；追隨者,初級
f,food,noun,食物,初級
f,fool,noun/adj.,傻瓜；愚蠢的,初級
f,fool,verb,愚弄、欺騙,初級
f,foolish,adj.,愚蠢的,初級
f,foot,noun,腳,初級
f,football,noun,足球,初級
f,for,prep.,為了、給、(時間、距離)達,初級
f,for,conj.,因為,初級
f,force,noun,力量,初級
f,force,verb,強迫,初級
f,foreign,adj.,外國的,初級
f,foreigner,noun,外國人,初級
f,forest,noun,森林,初級
f,forget,verb,忘記,初級
f,forgive,verb,原諒,初級
f,fork,noun,叉子,初級
f,form,noun,表格、形狀,初級
f,form,verb,組成,初級
f,formal,adj.,正式的,初級
f,former,pron./adj.,前者；從前的,初級
f,forty,number/pron./noun/adj.,四十,初級
f,forward,adv./adj.,向前；前面的adv.=forwards（BritishEnglish）,初級
f,four,number/pron./noun/adj.,四,初級
f,fourteen,number/pron./noun/adj.,十四,初級
f,fox,noun,狐狸,初級
F,France,noun,法國,初級
f,frank,adj.,坦白的,初級
f,free,adj.,空閒、免費、自由的,初級
f,free,verb,使自由,初級
f,freedom,noun,自由,初級
f,freezer,noun,冰箱,初級
F,Frenchfries,noun,炸薯條,初級
f,fresh,adj.,新鮮的,初級
F,Friday,noun,星期五=Fri.,初級
f,friend,noun,朋友,初級
f,friendly,adj.,友善的,初級
f,friendship,noun,友誼,初級
f,frighten,verb,使驚恐,初級
f,frisbee,noun,飛盤,初級
f,frog,noun,青蛙,初級
f,from,prep.,從,初級
f,front,noun/adj.,前面；前面的,初級
f,fruit,noun,水果,初級
f,fry,verb/noun,炒、炸；油炸物,初級
f,full,adj.,滿的、充滿的,初級
f,fun,noun/adj.,樂趣；有趣的,初級
f,function,noun/verb,功用；發揮功用,初級
f,funny,adj.,有趣的、好笑的,初級
f,furniture,noun,傢俱,初級
f,further,adv./adj.,進一步地；進一步的,初級
f,future,noun/adj.,未來；未來的,初級
g,gain,verb/noun,獲得、增加；利潤,初級
g,game,noun,比賽,初級
g,garage,noun,車庫,初級
g,garbage,noun,垃圾,初級
g,garden,noun,花園,初級
g,gas,noun,瓦斯、氣體,初級
g,gasoline,noun,石油=gas=petrol,初級
g,gate,noun,大門、柵門,初級
g,gather,verb,聚集,初級
g,general,adj.,一般的、普遍的,初級
g,general,noun,將軍,初級
g,generation,noun,世代,初級
g,generous,adj.,慷慨的、大方的,初級
g,genius,noun,天才,初級
g,gentle,adj.,溫和的,初級
g,gentleman,noun,紳士、先生,初級
g,geography,noun,地理學,初級
G,Germany,noun,德國,初級
g,gesture,noun/verb,手勢；做手勢,初級
g,get,verb,使…成為、獲得、到達,初級
g,ghost,noun,鬼,初級
g,giant,adj./noun,巨大的；巨人,初級
g,gift,noun,禮物,初級
g,girl,noun,女孩,初級
g,give,verb,給,初級
g,glad,adj.,高興的,初級
g,glass,noun,玻璃、一杯,初級
g,glasses,noun,眼鏡,初級
g,glove,noun,手套,初級
g,glue,noun/verb,膠水；黏,初級
g,go,verb/noun,去；進行,初級
g,goal,noun,目標,初級
g,goat,noun,山羊,初級
G,God,noun,神、上帝,初級
g,gold,noun,金、金子、金色,初級
g,golden,adj.,金色的,初級
g,golf,noun,高爾夫球,初級
g,good,adj./noun,好的；好處,初級
g,goodbye,noun,再見=bye,初級
g,good-looking,adj.,好看的,初級
g,goose,noun,鵝,初級
g,government,noun,政府,初級
g,grade,noun,成績,初級
g,gram,noun,公克=gramme(BritishEnglish)=g=gm,初級
g,grand,adj.,重大的,初級
g,granddaughter,noun,孫女,初級
g,grandfather,noun,祖父=grandpa,初級
g,grandmother,noun,祖母=grandma,初級
g,grandson,noun,孫子,初級
g,grape,noun,葡萄,初級
g,grass,noun,草,初級
g,gray,adj./noun,灰色的；灰色=grey,初級
g,great,adj.,極好的,初級
g,greedy,adj.,貪心的,初級
g,green,adj./noun,綠色的；綠色,初級
g,greet,verb,招呼,初級
g,ground,noun,地面,初級
g,group,noun,團體,初級
g,grow,verb,生長,初級
g,growth,noun,成長,初級
g,guard,noun/verb,守衛，衛兵；守衛,初級
g,guava,noun,番石榴,初級
g,guess,verb/noun,猜測、推測,初級
g,guest,noun,客人,初級
g,guide,noun/verb,嚮導；引導,初級
g,guitar,noun,吉他,初級
g,gun,noun,槍,初級
g,guy,noun,傢伙,初級
g,gym,noun,體育館,初級
h,habit,noun,習慣,初級
h,hair,noun,頭髮,初級
h,haircut,noun,理髮、髮型,初級
h,half,pron./noun,一半(之人、物)；一半、半個,初級
h,half,adj.,一半的、不完全的、部分的,初級
h,half,adv.,一半地、部分地,初級
h,hall,noun,禮堂、(大)廳,初級
H,Halloween,noun,萬聖節,初級
h,ham,noun,火腿,初級
h,hamburger,noun,漢堡=burger,初級
h,hammer,noun,鐵鎚,初級
h,hand,noun,手,初級
h,hand,verb,傳遞,初級
h,handkerchief,noun,手帕,初級
h,handle,verb,處理,初級
h,handle,noun,把手,初級
h,handsome,adj.,英俊的,初級
h,hang,verb,懸掛,初級
h,hanger,noun,掛鉤、衣架,初級
h,happen,verb,發生,初級
h,happy,adj.,快樂的,初級
h,hard,adj.,難的、硬的,初級
h,hard,adv.,努力地、猛烈地,初級
h,hardly,adv.,幾乎不,初級
h,hat,noun,帽子,初級
h,hate,verb/noun,厭惡,初級
h,have,verb,有、吃、喝,初級
h,have,aux.,（與動詞的過去分詞連用，構成現在完成式和過去完成式）,初級
h,he,pron.,他,初級
h,head,noun,頭,初級
h,head,verb,前往,初級
h,headache,noun,頭痛,初級
h,health,noun,健康,初級
h,healthy,adj.,健康的,初級
h,hear,verb,聽見,初級
h,heart,noun,心臟,初級
h,heat,noun/verb,熱度；加熱,初級
h,heater,noun,暖氣機,初級
h,heavy,adj.,重的,初級
h,height,noun,高度,初級
h,helicopter,noun,直昇機,初級
h,hello,noun/interj.,哈囉(問候語),初級
h,help,verb/noun,幫助,初級
h,helpful,adj.,有幫助的,初級
h,hen,noun,母雞,初級
h,her,determiner,她、她的,初級
h,here,adv.,這裡,初級
h,hero,noun,英雄,初級
h,heroine,noun,女英雄、女主角,初級
h,hers,pron.,她的,初級
h,herself,pron.,她自己,初級
h,hey,interj.,喂,初級
h,hi,interj.,嗨(問候語),初級
h,hide,verb,躲藏,初級
h,high,adj./adv.,高(級)的；高地,初級
h,highway,noun,公路,初級
h,hike,noun/verb,健行;（尤指鄉間的）遠足，長途健行,初級
h,hill,noun,丘陵,初級
h,him,pron.,他,初級
h,himself,pron.,他自己,初級
h,hip,noun,臀部,初級
h,hippopotamus,noun,河馬=hippo,初級
h,hire,verb/noun,僱用；新僱員,初級
h,his,determiner,他的,初級
h,history,noun,歷史,初級
h,hit,verb/noun,打擊、碰撞,初級
h,hobby,noun,啫好,初級
h,hold,verb,舉辦,初級
h,hold,noun,握、拿、抓,初級
h,hole,noun,洞,初級
h,holiday,noun,假日,初級
h,home,noun/adv./adj.,家；到家、在家；家(的),初級
h,homesick,adj.,想家的,初級
h,hometown,noun,家鄉,初級
h,homework,noun,家庭作業,初級
h,honest,adj.,誠實的,初級
h,honesty,noun,誠實,初級
h,honey,noun,蜂蜜、親愛的,初級
H,HongKong,noun,香港,初級
h,hop,verb/noun,單足跳；單足短距離跳躍,初級
h,hope,verb/noun,希望,初級
h,horrible,adj.,可怕的,初級
h,horse,noun,馬,初級
h,hospital,noun,醫院,初級
h,host,noun/verb,主人、主辦；作東,初級
h,hostess,noun,女主人,初級
h,hot,adj.,熱的,初級
h,hotdog,noun,熱狗,初級
h,hotel,noun,旅館,初級
h,hour,noun,小時,初級
h,house,noun/verb,房子；給…房子住(用),初級
h,how,adv.,如何、怎麼樣,初級
h,however,adv./conj.,然而、但是；不管怎樣、無論如何,初級
H,Hualian,noun,花蓮,初級
h,huge,adj.,巨大的,初級
h,human,adj./noun,人類的；人類,初級
h,humble,adj.,謙虛的,初級
h,humid,adj.,潮濕的,初級
h,humor,noun,幽默=humour(BritishEnglish),初級
h,humorous,adj.,幽默的,初級
h,hundred,number/pron./noun/adj.,一百,初級
h,hunger,noun,飢餓,初級
h,hungry,adj.,飢餓的,初級
h,hunt,verb/noun,打獵、尋找；打獵、尋找,初級
h,hunter,noun,獵人,初級
h,hurry,verb/noun,使加快、催促；匆忙、倉促,初級
h,hurt,verb,（使）感到疼痛、弄傷；傷害,初級
h,husband,noun,丈夫,初級
I,I,pron.,我,初級
i,ice,noun,冰,初級
i,icecream,noun,冰淇淋,初級
i,idea,noun,主意,初級
i,if,conj.,如果,初級
i,ignore,verb,忽視,初級
i,ill,adj.,生病的,初級
i,image,noun,形象,初級
i,imagine,verb,想像,初級
i,import,noun/verb,進口商品；進口、引進,初級
i,importance,noun,重要(性),初級
i,important,adj.,重要的,初級
i,improve,verb,改進,初級
i,in,prep./adv./adj.,在…裡；在家、在某地；時髦的,初級
i,inch,noun,英吋,初級
i,include,verb,包含,初級
i,including,prep.,包含,初級
i,income,noun,收入,初級
i,increase,verb/noun,增大、增加、增強；（數量或尺寸）增加、增長,初級
i,independent,adj.,獨立的,初級
i,indicate,verb,指示,初級
i,individual,adj./noun,個人的；個體,初級
i,industry,noun,產業,初級
i,influence,noun/verb,影響；影響、作用、有影響力的人或物,初級
i,information,noun,資訊,初級
i,injury,noun,傷害,初級
i,ink,noun,墨水,初級
i,insect,noun,昆蟲,初級
i,inside,prep./adv./noun,在…裡；裡面的；內部,初級
i,insist,verb,堅持,初級
i,inspire,verb,給…靈感,初級
i,instance,noun,例子,初級
i,instant,adj./noun,立即的；剎那,初級
i,instrument,noun,樂器,初級
i,intelligent,adj.,有才智的,初級
i,interest,noun/verb,興趣；使感興趣,初級
i,international,adj.,國際性的,初級
I,Internet,noun,網際網路,初級
i,interrupt,verb,打斷(說話),初級
i,interview,noun/verb,面談,初級
i,into,prep.,進入到,初級
i,introduce,verb,介紹、引進,初級
i,invent,verb,發明,初級
i,investigate,verb,調查,初級
i,invitation,noun,邀請,初級
i,invite,verb,邀請,初級
i,iron,noun,鐵,初級
i,iron,verb,熨,初級
i,is,verb,(Be動詞)是,初級
i,island,noun,島嶼,初級
i,it,pron.,它,初級
i,item,noun,項目,初級
i,its,determiner,它的,初級
i,itself,pron.,它自己,初級
j,jacket,noun,夾克,初級
j,jam,noun,堵塞、果醬,初級
J,January,noun,一月=Jan.,初級
J,Japan,noun,日本,初級
J,Japanese,adj./noun,日本的；日本人、日語,初級
j,jazz,noun,爵士樂,初級
j,jealous,adj.,妒忌的,初級
j,jeans,noun,牛仔褲,初級
j,jeep,noun,吉普車,初級
j,job,noun,工作,初級
j,jog,verb,慢跑,初級
j,join,verb,參加,初級
j,joint,adj.,共同的,初級
j,joint,noun,接點,初級
j,joke,noun/verb,玩笑；開玩笑,初級
j,journalist,noun,新聞記者,初級
j,joy,noun,歡樂,初級
j,judge,noun,法官,初級
j,judge,verb,判斷,初級
j,juice,noun,果汁,初級
J,July,noun,七月=Jul.,初級
j,jump,verb/noun,跳,初級
J,June,noun,六月=Jun.,初級
j,juniorhighschool,noun,國中、國民中學,初級
j,just,adv.,只是、正好、剛才,初級
k,kangaroo,noun,袋鼠,初級
K,Kaohsiung,noun,高雄,初級
k,keep,verb,使…保持在某狀態、繼續、飼養,初級
k,ketchup,noun,番茄醬=catsup,初級
k,key,noun,鑰匙、關鍵,初級
k,key,adj.,重要的,初級
k,kick,verb/noun,踢,初級
k,kid,noun,小孩,初級
k,kill,verb,殺、使痛苦,初級
k,kilogram,noun,公斤=kg,初級
k,kilometer,noun,公里=kilometre(BritishEnglish)=km,初級
k,kind,adj.,仁慈、親切的,初級
k,kind,noun,種類,初級
k,kindergarten,noun,幼稚園,初級
k,king,noun,國王,初級
k,kingdom,noun,王國,初級
k,kiss,verb/noun,親吻,初級
k,kitchen,noun,廚房,初級
k,kite,noun,風箏,初級
k,kitten,noun,小貓=kitty,初級
k,knee,noun,膝蓋,初級
k,knife,noun,刀,初級
k,knock,verb,敲,初級
k,know,verb,知道,初級
k,knowledge,noun,知識,初級
k,koala,noun,無尾熊,初級
K,Korea,noun,韓國,初級
K,Korean,adj./noun,韓國的；韓國人,初級
K,KTV,noun,卡拉OK店,初級
l,lack,noun/verb,欠缺,初級
l,lady,noun,女士,初級
l,lake,noun,湖,初級
l,lamb,noun,小羊,初級
l,lamp,noun,燈,初級
l,land,noun,土地,初級
l,land,verb,登陸,初級
l,language,noun,語言,初級
l,lantern,noun,燈籠,初級
L,LanternFestival,noun,元宵節,初級
l,large,adj.,大的,初級
l,last,adj./pron./noun,最後的、剛過的,初級
l,late,adj./adv.,遲的,初級
l,later,adv.,更晚的；較晚地、以後,初級
l,latest,adj.,最新的,初級
l,laugh,verb/noun,笑,初級
l,law,noun,法律,初級
l,lawyer,noun,律師,初級
l,lay,verb,放置,初級
l,lazy,adj.,懶惰的,初級
l,lead,verb/noun,領導；領先,初級
l,leader,noun,領導者,初級
l,leadership,noun,領導(能力),初級
l,leaf,noun,葉子,初級
l,learn,verb,學習,初級
l,least,adv./adj./pron./noun,最少、最小,初級
l,leave,verb/noun,離開；假期,初級
l,left,noun/adv.,左邊、左側；向左,初級
l,left,adj.,左邊的、左側的、剩下的,初級
l,left-hand,adj.,左手的、左邊的,初級
l,leg,noun,腿,初級
l,legal,adj.,合法的,初級
l,lemon,noun,檸檬,初級
l,lend,verb,把…借給,初級
l,length,noun,長度,初級
l,less,adv./pron.,較少(地),初級
l,lesson,noun,課程,初級
l,let,verb,讓,初級
l,letter,noun,信,初級
l,lettuce,noun,萵苣,初級
l,level,noun,水準,初級
l,level,adj.,水平的,初級
l,library,noun,圖書館,初級
l,lick,verb/noun,舔,初級
l,lid,noun,蓋子；眼瞼,初級
l,lie,verb,躺下、橫臥、擺放,初級
l,lie,noun/verb,謊言；說謊,初級
l,life,noun,生命、生活,初級
l,lift,verb,舉起,初級
l,lift,noun,舉、順道搭載,初級
l,light,noun/verb/adj.,光、燈；點燃、照亮；明亮的,初級
l,light,adj./adv.,輕(便)、明亮、(顏色)淺、少量,初級
l,lightning,noun,閃電,初級
l,like,prep.,像、如,初級
l,like,verb,喜歡、想要,初級
l,likely,adj./adv.,很可能,初級
l,limit,verb/noun,限制,初級
l,line,noun/verb,行列；排隊,初級
l,link,noun/verb,連結,初級
l,lion,noun,獅子,初級
l,lip,noun,唇,初級
l,liquid,noun/adj.,液體；液態的、流動的,初級
l,list,noun/verb,名單；列入名單,初級
l,listen,verb,聽,初級
l,liter,noun,公升=litre(BritishEnglish),初級
l,little,adj./pron./adv.,小的；少,初級
l,live,verb,活,初級
l,livingroom,noun,客廳,初級
l,loaf,noun,一條（塊）包,初級
l,local,adj./noun,當地的；本地人,初級
l,lock,verb/noun,鎖上；鎖,初級
l,lonely,adj.,寂寞的,初級
l,long,adj./adv.,長的、久的；長久地,初級
l,look,verb/noun,看,初級
l,lose,verb,失去、輸,初級
l,loser,noun,失敗者,初級
l,loss,noun,損失,初級
l,lot,noun,多量、一批、一塊地,初級
l,loud,adj./adv.,大聲的；大聲地,初級
l,love,verb/noun,愛,初級
l,lovely,adj.,美好的,初級
l,lover,noun,愛好者,初級
l,low,adj.,低的,初級
l,luck,noun,運氣,初級
l,lucky,adj.,幸運的,初級
l,lunch,noun,午餐,初級
m,ma'am,noun,夫人,初級
m,machine,noun,機器,初級
m,mad,adj.,瘋狂的、生氣的,初級
m,magazine,noun,雜誌,初級
m,magic,adj./noun.,有魔力的；魔術,初級
m,magician,noun,魔術師,初級
m,mail,noun/verb,郵件；郵寄,初級
m,mailcarrier,noun,郵差=mailman=postman(BritishEnglish),初級
m,main,adj.,主要的,初級
m,maintain,verb,維持,初級
m,major,adj.,主要的,初級
m,major,noun/verb,主修科目、主修生；主修,初級
m,make,verb,做,初級
m,male,adj./noun,男性(的),初級
m,mall,noun,購物中心,初級
m,man,noun,男人,初級
m,manager,noun,負責人、經理,初級
M,Mandarin,noun,中文(國語),初級
m,mango,noun,芒果,初級
m,manner,noun,禮貌（多使用複數形態）、方式、態度,初級
m,many,adj./pron.,許多（的）,初級
m,map,noun,地圖,初級
M,March,noun,三月=Mar.,初級
m,mark,verb,標記,初級
m,mark,noun,分數,初級
m,marker,noun,標誌；麥克筆、彩色筆,初級
m,market,noun/verb,市場；行銷、銷售,初級
m,marriage,noun,婚姻,初級
m,marry,verb,結婚,初級
m,marvelous,adj.,非凡的、很棒的=marvellous(BritishEnglish),初級
m,mask,noun,面具、口罩,初級
m,mass,noun/adj.,大量（的）,初級
m,master,noun,主人、大師,初級
m,mat,noun,蓆子、墊子,初級
m,match,noun,比賽,初級
m,match,verb,相配,初級
m,material,noun,物質、材料,初級
m,math,noun,數學、算術=mathematics,初級
m,matter,noun,問題；物質,初級
m,matter,verb,有關係,初級
m,maximum,adj./noun/adv.,最大值（的/地）,初級
m,may,aux.,可能,初級
M,May,noun,五月,初級
m,maybe,adv.,或許,初級
m,me,pron.,我,初級
m,meal,noun,一餐、餐點,初級
m,mean,verb,意思是、意指、意圖,初級
m,meaning,noun,意義,初級
m,means,noun,手段,初級
m,measure,noun,措施,初級
m,measure,verb,測量,初級
m,meat,noun,肉,初級
m,mechanic,noun,機械工、修理工,初級
m,medicine,noun,藥,初級
m,medium,adj.,中間的、中等的,初級
m,medium,noun,媒介、方法、媒體,初級
m,meet,verb,遇見,初級
m,meeting,noun,會議,初級
m,melon,noun,瓜,初級
m,member,noun,成員,初級
m,memory,noun,記憶、回憶,初級
m,men'sroom,noun,男洗手間、男廁所,初級
m,menu,noun,菜單,初級
m,message,noun,訊息,初級
m,metal,noun,金屬,初級
m,meter,noun,公尺=metre(BritishEnglish)=m,初級
m,method,noun,方法,初級
m,microwave,noun/verb,微波(爐),初級
m,middle,adj./noun,中間(的),初級
m,midnight,noun/adj.,午夜,初級
m,might,aux.,可能、或許,初級
m,mile,noun,英里、哩,初級
m,military,noun/adj.,軍事(的),初級
m,milk,noun,牛奶,初級
m,million,number/pron./noun/adj.,百萬,初級
m,mind,noun,心思、主意、想法、智力,初級
m,mind,verb,注意、介意,初級
m,minor,adj.,較小、少的；次要的,初級
m,minor,noun,副修、未成年,初級
m,minor,verb,副修,初級
m,minus,pron./conj./adj./noun,減；減號；負的,初級
m,minute,noun,分鐘=min.,初級
m,mirror,noun,鏡子,初級
m,miss,verb,錯過；想念,初級
M,Miss,noun,小姐,初級
m,missing,adj.,缺的、走失的,初級
m,mistake,noun/verb,錯誤；出差錯,初級
m,mix,verb/noun,混合,初級
m,model,noun/verb,模特兒、模型；塑造、模仿,初級
m,modern,adj.,現代的,初級
m,moment,noun,瞬間、片刻,初級
M,Monday,noun,星期一=Mon.,初級
m,money,noun,金錢,初級
m,monkey,noun,猴子,初級
m,monster,noun,妖怪,初級
m,month,noun,月,初級
m,monthly,adj./adv.,每月的(地),初級
m,monthly,noun,月刊,初級
m,moon,noun,月亮,初級
m,mop,noun/verb,拖把；拖地,初級
m,more,adv./pron./adj.,更；更多(的),初級
m,morning,noun,早晨,初級
m,mosquito,noun,蚊子,初級
m,most,adv./pron./adj.,最,初級
m,mother,noun,母親=mommy=mom=momma=mamma,初級
m,mother,verb,養育,初級
M,Mother'sDay,noun,母親節,初級
m,motion,noun,行動、動作,初級
m,motion,verb,打手勢,初級
m,motorcycle,noun,摩托車=motorbike(BritishEnglish),初級
m,mountain,noun,山,初級
m,mouse,noun,老鼠,初級
m,mouth,noun,嘴,初級
m,move,verb/noun,搬家、移動,初級
m,movement,noun,動作；活動,初級
m,movie,noun,電影=film=cinema=picture,初級
M,Mr.,noun,先生=Mr,初級
M,Mrs.,noun,太太=Mrs,初級
M,MRT,noun,捷運=massrapidtransit=subway=underground=metro,初級
M,Ms.,noun,女士=Ms,初級
m,much,pron./adv./adj.,很多,初級
m,mud,noun,泥巴,初級
m,museum,noun,博物館,初級
m,music,noun,音樂,初級
m,musician,noun,音樂家,初級
m,must,aux.,必須、一定是,初級
m,my,determiner,我的,初級
m,myself,pron.,我自己,初級
